id,virus,host,interaction,strain,localization,tissue_expression
113123,S,MARK3,Interolog,P.1,None,Brain - Cerebellar Hemisphere
113872,nsp12,HLA-G,Interolog,P.1,None,Pituitary
114144,ORF3a,HLA-G,Interolog,P.1,None,Pituitary
114397,ORF7b,HLA-G,Interolog,P.1,None,Pituitary
114869,S,HLA-G,Interolog,P.1,None,Pituitary
115073,E,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
115663,M,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
117410,ORF3a,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
117769,ORF6,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
118208,ORF7a,HLA-G,Interolog,P.1,None,Pituitary
118228,ORF7a,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
118838,ORF7b,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
119317,ORF8,HLA-G,Interolog,P.1,None,Pituitary
119335,ORF8,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
119636,S,ARF3,Interolog,P.1,None,Brain - Frontal Cortex (BA9)
119835,E,HLA-G,Interolog,P.1,None,Pituitary
120141,M,MARK3,Interolog,P.1,None,Brain - Cerebellar Hemisphere
121512,ORF3a,MARK3,Interolog,P.1,None,Brain - Cerebellar Hemisphere
122065,ORF7b,MARK3,Interolog,P.1,None,Brain - Cerebellar Hemisphere
122876,M,HLA-G,Interolog,P.1,None,Pituitary
123789,nsp14,MARK3,Interolog,P.1,None,Brain - Cerebellar Hemisphere
123886,N,HLA-G,Interolog,P.1,None,Pituitary
123906,nsp12,MARK3,Interolog,P.1,None,Brain - Cerebellar Hemisphere
124572,N,HLA-G,Domain,P.1,None,Pituitary
125533,S,HLA-G,Domain,P.1,None,Pituitary
125815,nsp12,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
125977,S,ACE2,Interolog,P.2,None,Testis
125984,ORF9b,MARK3,Interolog,P.2,None,Brain - Cerebellar Hemisphere
126011,S,MARK3,Interolog,P.2,None,Brain - Cerebellar Hemisphere
126760,nsp12,HLA-G,Interolog,P.2,None,Pituitary
127032,ORF3a,HLA-G,Interolog,P.2,None,Pituitary
127285,ORF7b,HLA-G,Interolog,P.2,None,Pituitary
127757,S,HLA-G,Interolog,P.2,None,Pituitary
127961,E,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
128551,M,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
130298,ORF3a,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
130657,ORF6,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
131096,ORF7a,HLA-G,Interolog,P.2,None,Pituitary
131116,ORF7a,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
131726,ORF7b,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
132205,ORF8,HLA-G,Interolog,P.2,None,Pituitary
132223,ORF8,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
132524,S,ARF3,Interolog,P.2,None,Brain - Frontal Cortex (BA9)
132723,E,HLA-G,Interolog,P.2,None,Pituitary
133029,M,MARK3,Interolog,P.2,None,Brain - Cerebellar Hemisphere
134400,ORF3a,MARK3,Interolog,P.2,None,Brain - Cerebellar Hemisphere
134953,ORF7b,MARK3,Interolog,P.2,None,Brain - Cerebellar Hemisphere
135764,M,HLA-G,Interolog,P.2,None,Pituitary
136677,nsp14,MARK3,Interolog,P.2,None,Brain - Cerebellar Hemisphere
136774,N,HLA-G,Interolog,P.2,None,Pituitary
136794,nsp12,MARK3,Interolog,P.2,None,Brain - Cerebellar Hemisphere
137455,N,HLA-G,Domain,P.2,None,Pituitary
138173,S,HLA-G,Domain,P.2,None,Pituitary
